fold_id,n_train,n_test,train_start_target,train_end_target,test_start_target,test_end_target,lr_accuracy,xgb_accuracy,lr_excess_total,xgb_excess_total
0,2438,126,2010-10-19,2020-06-25,2020-06-26,2020-12-23,0.6111111111111112,0.5079365079365079,0.005282996540805662,-0.07342995371920136
1,2564,126,2010-10-19,2020-12-23,2020-12-24,2021-06-25,0.5396825396825397,0.5396825396825397,-0.06349468481671705,-0.07342305281848294
2,2690,126,2010-10-19,2021-06-25,2021-06-28,2021-12-23,0.5714285714285714,0.5317460317460317,0.0019420018479305856,-0.007932879525417436
3,2816,126,2010-10-19,2021-12-23,2021-12-27,2022-06-27,0.4603174603174603,0.4603174603174603,0.02535390808934479,-0.032444727095347514
4,2942,126,2010-10-19,2022-06-27,2022-06-28,2022-12-23,0.49206349206349204,0.49206349206349204,0.06266313848563176,0.05035795782791164
5,3068,126,2010-10-19,2022-12-23,2022-12-27,2023-06-28,0.5634920634920635,0.5396825396825397,0.008769163604656738,-0.04858562498231844
6,3194,126,2010-10-19,2023-06-28,2023-06-29,2023-12-27,0.49206349206349204,0.5,-0.05914120421144009,-0.08443211754849189
7,3320,126,2010-10-19,2023-12-27,2023-12-28,2024-06-28,0.5714285714285714,0.5714285714285714,0.0,0.02011632942664021
