comparison,mean_daily_excess,ci_low,median,ci_high,prob_positive,excludes_zero_low,total_compounded_excess,sharpe_difference,n_oos_days,block_length,n_resamples,seed
LR_vs_buy_and_hold,-1.2664466234042077e-05,-0.00019625313562217594,-3.468810029743189e-05,0.00013778816880794613,0.366,False,-0.011704541827571413,0.04432531559173136,1008,21,10000,42
XGB_vs_LR,-0.00022842056132836645,-0.00045138069990041896,-0.00019930833603002898,4.060473040993112e-05,0.0871,False,-0.3757063776957905,-0.32310428095767607,1008,21,10000,42
XGB_vs_buy_and_hold,-0.0002410850275624085,-0.00044312953085097104,-0.00023366437055312976,-2.782202159714222e-05,0.0333,False,-0.38741091952336193,-0.2787789653659447,1008,21,10000,42
