model,pooled_accuracy,pooled_roc_auc,pooled_log_loss,predicted_positive_rate,actual_positive_rate,n_oos_days,oos_start_target,oos_end_target
logistic_regression,0.5376984126984127,0.5037517431541583,0.6972262721622579,0.875,0.5396825396825397,1008,2020-06-26,2024-06-28
xgboost,0.5178571428571429,0.5001545068458417,0.7175378006896224,0.7162698412698413,0.5396825396825397,1008,2020-06-26,2024-06-28
