target_timestamp,fold_id,y_true,model_pred,persistence_pred,model_sq_err,persistence_sq_err
2020-06-22,0,0.2795712465302482,0.31313398546047233,0.16549741176447996,0.001126457444498384,0.013012839778167789
2020-06-23,0,0.3066857618248615,0.3101491984847864,0.1605918716570268,1.1995393497311601e-05,0.021343424744371356
2020-06-24,0,0.3258642550001488,0.264081838371371,0.08398070103902089,0.003817067004491881,0.05850765367686589
2020-06-25,0,0.2529921817236359,0.34925874043141425,0.20503466570966725,0.009267250325438134,0.002299923342230061
2020-06-26,0,0.24729470956084643,0.27507934959610353,0.2304054512148966,0.0007719862218888118,0.0002852470474762355
2020-06-29,0,0.07219345348378148,0.32626831339888396,0.2795712465302482,0.06455403444087895,0.04300554904882317
2020-06-30,0,0.15929780121840972,0.29977446059178703,0.3066857618248615,0.019733691828703874,0.021723210931728985
2020-07-01,0,0.14949303368828304,0.2576500664398638,0.3258642550001488,0.011697943733626518,0.031106807707039136
2020-07-02,0,0.16540104869174263,0.23724434923518498,0.2529921817236359,0.005161459832975383,0.007672206585810826
2020-07-06,0,0.17390921402536128,0.21831269477053433,0.24729470956084643,0.0019716691022869546,0.0053854309549887115
2020-07-07,0,0.15210761226082214,0.17672318493755995,0.07219345348378148,0.0006059264182037609,0.006386272773042066
2020-07-08,0,0.15550559802627875,0.18790388636136712,0.15929780121840972,0.0010496490870435232,1.4380805050408332e-05
2020-07-09,0,0.15857397809653992,0.17040877290016848,0.14949303368828304,0.00014006236804399363,8.24635513458519e-05
2020-07-10,0,0.15042005842967976,0.15704364395393505,0.16540104869174263,4.387188519712427e-05,0.00022443006923202256
2020-07-13,0,0.14026237314541273,0.148654575619877,0.17390921402536128,7.042906237240406e-05,0.0011321099012005765
2020-07-14,0,0.10005385320933564,0.15780648241830172,0.15210761226082214,0.003335366180548322,0.002709593831390213
2020-07-15,0,0.07988071451394506,0.14873712987532128,0.15550559802627875,0.004741205936418367,0.00571912300625404
2020-07-16,0,0.06800186442119377,0.11730581025704159,0.15857397809653992,0.002430879074984216,0.008203307775619825
2020-07-17,0,0.12387595933529885,0.11614303608933609,0.15042005842967976,5.9798101927951335e-05,0.0007045891967323133
2020-07-20,0,0.13396362297499526,0.1183109872523102,0.14026237314541273,0.0002450050050670761,3.96742537093342e-05
2020-07-21,0,0.13086117758675608,0.12293026314285545,0.10005385320933564,6.289940391647173e-05,0.0009490912352956036
2020-07-22,0,0.13331896685656183,0.10462138409377916,0.07988071451394506,0.000823551256426761,0.002855646813433187
2020-07-23,0,0.16329340212687446,0.10192088205230869,0.06800186442119377,0.0037665862203029783,0.009080477158313165
2020-07-24,0,0.1367334466799276,0.13357574535840305,0.12387595933529885,9.971077635957838e-06,0.0001653149808172883
2020-07-27,0,0.12749116739430574,0.14741318113181118,0.13396362297499526,0.0003968866313573552,4.189268124399881e-05
2020-07-28,0,0.1268782424467602,0.13267398601219213,0.13086117758675608,3.359064347624577e-05,1.5863772329414134e-05
2020-07-29,0,0.09358130665939088,0.14294684812403302,0.13331896685656183,0.0024369566840973028,0.0015790816379458246
2020-07-30,0,0.07350194529871831,0.1319819510988381,0.16329340212687446,0.003419911078382043,0.008062505719322629
2020-07-31,0,0.023925256123573893,0.13064703048897458,0.1367334466799276,0.011389537123699495,0.01272568785659861
2020-08-03,0,0.04175884471339088,0.1235699245704756,0.12749116739430574,0.006693052787382293,0.00735003115226451
2020-08-04,0,0.03877391833195003,0.10737187732908089,0.1268782424467602,0.004705679978572047,0.007762371927727519
2020-08-05,0,0.09620644366776986,0.10284443886336553,0.09358130665939088,4.4062980216751225e-05,6.891344312760929e-06
2020-08-06,0,0.1292003746869606,0.09925809685840872,0.07350194529871831,0.0008965400015621896,0.003102315036317013
2020-08-07,0,0.12890374708388286,0.0947628829914485,0.023925256123573893,0.0011655986009780738,0.01102048356430367
2020-08-10,0,0.12926464387944184,0.08316092608428219,0.04175884471339088,0.0021255527945357204,0.007657264887689245
2020-08-11,0,0.1294186303481689,0.08881997925870916,0.03877391833195003,0.0016482504702836898,0.008216463816503252
2020-08-12,0,0.09758773589644101,0.10700191636415492,0.09620644366776986,8.862679387868598e-05,1.9079682209873335e-06
