target_timestamp,asset_return,buy_and_hold_return,lr_position,lr_net_return,xgb_position,xgb_net_return,fold_id
2020-06-26,-0.023751624967414564,-0.023751624967414564,0.0,-0.0,1.0,-0.023851624967414563,0
2020-06-29,0.01469763015006964,0.01469763015006964,1.0,0.014597630150069641,1.0,0.01469763015006964,0
2020-06-30,0.012809280689663805,0.012809280689663805,1.0,0.012809280689663805,1.0,0.012809280689663805,0
2020-07-01,0.0070048871280616876,0.0070048871280616876,1.0,0.0070048871280616876,1.0,0.0070048871280616876,0
2020-07-02,0.00550702210249332,0.00550702210249332,1.0,0.00550702210249332,1.0,0.00550702210249332,0
2020-07-06,0.01543738825635943,0.01543738825635943,1.0,0.01543738825635943,1.0,0.01543738825635943,0
2020-07-07,-0.010313994424377637,-0.010313994424377637,1.0,-0.010313994424377637,0.0,-0.0001,0
2020-07-08,0.00764854348068833,0.00764854348068833,1.0,0.00764854348068833,1.0,0.00754854348068833,0
2020-07-09,-0.005692891616154161,-0.005692891616154161,1.0,-0.005692891616154161,1.0,-0.005692891616154161,0
2020-07-10,0.01021055725948794,0.01021055725948794,1.0,0.01021055725948794,1.0,0.01021055725948794,0
2020-07-13,-0.008658630405243395,-0.008658630405243395,1.0,-0.008658630405243395,1.0,-0.008658630405243395,0
2020-07-14,0.012958922241637305,0.012958922241637305,1.0,0.012958922241637305,0.0,-0.0001,0
2020-07-15,0.00918725849698343,0.00918725849698343,0.0,-0.0001,0.0,0.0,0
2020-07-16,-0.0032936119886614046,-0.0032936119886614046,1.0,-0.0033936119886614044,0.0,-0.0,0
2020-07-17,0.0028989425634318167,0.0028989425634318167,1.0,0.0028989425634318167,1.0,0.002798942563431817,0
2020-07-20,0.00808176137459915,0.00808176137459915,1.0,0.00808176137459915,1.0,0.00808176137459915,0
2020-07-21,0.0021274837162141846,0.0021274837162141846,1.0,0.0021274837162141846,0.0,-0.0001,0
2020-07-22,0.0056919927069596365,0.0056919927069596365,1.0,0.0056919927069596365,0.0,0.0,0
2020-07-23,-0.011931755841521396,-0.011931755841521396,1.0,-0.011931755841521396,0.0,-0.0,0
2020-07-24,-0.006440135123503832,-0.006440135123503832,1.0,-0.006440135123503832,1.0,-0.006540135123503832,0
2020-07-27,0.0072923459827458625,0.0072923459827458625,1.0,0.0072923459827458625,1.0,0.0072923459827458625,0
2020-07-28,-0.0063423038106692475,-0.0063423038106692475,1.0,-0.0063423038106692475,1.0,-0.0063423038106692475,0
2020-07-29,0.012298542693393477,0.012298542693393477,1.0,0.012298542693393477,1.0,0.012298542693393477,0
2020-07-30,-0.003567920052564677,-0.003567920052564677,1.0,-0.003567920052564677,1.0,-0.003567920052564677,0
2020-07-31,0.007902119420869047,0.007902119420869047,1.0,0.007902119420869047,1.0,0.007902119420869047,0
2020-08-03,0.0069523894941578845,0.0069523894941578845,1.0,0.0069523894941578845,1.0,0.0069523894941578845,0
2020-08-04,0.003862656974788603,0.003862656974788603,1.0,0.003862656974788603,1.0,0.003862656974788603,0
2020-08-05,0.006211168928112354,0.006211168928112354,1.0,0.006211168928112354,1.0,0.006211168928112354,0
2020-08-06,0.006684187017503618,0.006684187017503618,1.0,0.006684187017503618,0.0,-0.0001,0
2020-08-07,0.0007179503910319518,0.0007179503910319518,1.0,0.0007179503910319518,0.0,0.0,0
2020-08-10,0.0029889844733839155,0.0029889844733839155,1.0,0.0029889844733839155,0.0,0.0,0
2020-08-11,-0.008254976004740566,-0.008254976004740566,1.0,-0.008254976004740566,0.0,-0.0,0
2020-08-12,0.013942634010996935,0.013942634010996935,1.0,0.013942634010996935,0.0,0.0,0
2020-08-13,-0.0018080130692564866,-0.0018080130692564866,1.0,-0.0018080130692564866,0.0,-0.0,0
2020-08-14,2.9831591832341076e-05,2.9831591832341076e-05,1.0,2.9831591832341076e-05,0.0,0.0,0
2020-08-17,0.00317667537415689,0.00317667537415689,1.0,0.00317667537415689,1.0,0.00307667537415689,0
2020-08-18,0.00216047474688974,0.00216047474688974,1.0,0.00216047474688974,0.0,-0.0001,0
2020-08-19,-0.004163761676936217,-0.004163761676936217,1.0,-0.004163761676936217,0.0,-0.0,0
2020-08-20,0.0031134086419166707,0.0031134086419166707,1.0,0.0031134086419166707,0.0,0.0,0
2020-08-21,0.0035474447034509193,0.0035474447034509193,1.0,0.0035474447034509193,0.0,0.0,0
2020-08-24,0.010133179627708433,0.010133179627708433,1.0,0.010133179627708433,0.0,0.0,0
2020-08-25,0.0034993479386089543,0.0034993479386089543,1.0,0.0034993479386089543,1.0,0.0033993479386089545,0
2020-08-26,0.010025458417198152,0.010025458417198152,1.0,0.010025458417198152,0.0,-0.0001,0
2020-08-27,0.002186587742955215,0.002186587742955215,1.0,0.002186587742955215,0.0,0.0,0
2020-08-28,0.006459290462063505,0.006459290462063505,1.0,0.006459290462063505,0.0,0.0,0
2020-08-31,-0.003622389404268178,-0.003622389404268178,1.0,-0.003622389404268178,0.0,-0.0,0
2020-09-01,0.009418615279888076,0.009418615279888076,1.0,0.009418615279888076,1.0,0.009318615279888077,0
2020-09-02,0.01446391525182067,0.01446391525182067,1.0,0.01446391525182067,0.0,-0.0001,0
2020-09-03,-0.03441432488996665,-0.03441432488996665,1.0,-0.03441432488996665,0.0,-0.0,0
2020-09-04,-0.008164683592552624,-0.008164683592552624,1.0,-0.008164683592552624,1.0,-0.008264683592552623,0
2020-09-08,-0.0273227070106713,-0.0273227070106713,0.0,-0.0001,1.0,-0.0273227070106713,0
2020-09-09,0.019747204202113622,0.019747204202113622,1.0,0.019647204202113622,1.0,0.019747204202113622,0
2020-09-10,-0.01736365445685617,-0.01736365445685617,1.0,-0.01736365445685617,1.0,-0.01736365445685617,0
2020-09-11,0.0005092265636492677,0.0005092265636492677,1.0,0.0005092265636492677,1.0,0.0005092265636492677,0
2020-09-14,0.013171213105553914,0.013171213105553914,1.0,0.013171213105553914,1.0,0.013171213105553914,0
2020-09-15,0.00505221948433654,0.00505221948433654,1.0,0.00505221948433654,1.0,0.00505221948433654,0
2020-09-16,-0.003968385837368138,-0.003968385837368138,1.0,-0.003968385837368138,1.0,-0.003968385837368138,0
2020-09-17,-0.008795259741507633,-0.008795259741507633,1.0,-0.008795259741507633,1.0,-0.008795259741507633,0
2020-09-18,-0.011512912979176115,-0.011512912979176115,1.0,-0.011512912979176115,0.0,-0.0001,0
2020-09-21,-0.011129560647149539,-0.011129560647149539,1.0,-0.011129560647149539,1.0,-0.011229560647149538,0
2020-09-22,0.01018452587599139,0.01018452587599139,1.0,0.01018452587599139,1.0,0.01018452587599139,0
2020-09-23,-0.023191108765957202,-0.023191108765957202,1.0,-0.023191108765957202,1.0,-0.023191108765957202,0
2020-09-24,0.0026655287431300856,0.0026655287431300856,1.0,0.0026655287431300856,1.0,0.0026655287431300856,0
2020-09-25,0.01616690904021101,0.01616690904021101,1.0,0.01616690904021101,1.0,0.01616690904021101,0
2020-09-28,0.016609327337715474,0.016609327337715474,1.0,0.016609327337715474,0.0,-0.0001,0
2020-09-29,-0.005445988244475397,-0.005445988244475397,1.0,-0.005445988244475397,1.0,-0.005545988244475397,0
2020-09-30,0.0075819204685803054,0.0075819204685803054,1.0,0.0075819204685803054,1.0,0.0075819204685803054,0
2020-10-01,0.006420114024166423,0.006420114024166423,1.0,0.006420114024166423,1.0,0.006420114024166423,0
2020-10-02,-0.009494405635321113,-0.009494405635321113,1.0,-0.009494405635321113,1.0,-0.009494405635321113,0
2020-10-05,0.01773302965372947,0.01773302965372947,1.0,0.01773302965372947,1.0,0.01773302965372947,0
2020-10-06,-0.014215915880241847,-0.014215915880241847,1.0,-0.014215915880241847,1.0,-0.014215915880241847,0
2020-10-07,0.017406683421762992,0.017406683421762992,1.0,0.017406683421762992,1.0,0.017406683421762992,0
2020-10-08,0.008862483829611634,0.008862483829611634,0.0,-0.0001,0.0,-0.0001,0
